author_num,filename,date
1984,AxKit-App-TABOO-0.21.tar.gz,1114907605
775,Test-Chunks-0.18.tar.gz,1114908200
1651,HTML-Latemp-News-0.1.4.tar.gz,1114918427
919,ThreatNet-Message-0.04.tar.gz,1114923638
919,ThreatNet-Filter-0.01.tar.gz,1114924915
775,Spiffy-0.24.tar.gz,1114928564
1123,Catalyst-Plugin-Geography-0.01.tar.gz,1114947342
1209,SWF-File-0.40.tar.gz,1114955218
511,Pod-Readme-0.01.tar.gz,1114955999
2632,Acme-MorningMusume-0.04.tar.gz,1114958381
2741,Compress-Bzip2-2.07.tar.gz,1114961107
2749,Spreadsheet-ReadSXC-0.01.tar.gz,1114963796
1609,Thread-Isolate-0.05.tar.gz,1114963908
910,Perl6-Pugs-6.2.2.tar.gz,1114964976
1993,Test-TAP-HTMLMatrix-0.04.tar.gz,1114967028
2737,Clipboard-0.01.tar.gz,1114967997
2737,WebService-NoPaste-0.02.tar.gz,1114968205
919,Params-Util-0.05.tar.gz,1114968606
182,X11-Protocol-0.54.tar.gz,1114976061
87,File-Comments-0.06.tar.gz,1114979250
1841,reslog-3.02.tar.gz,1114983710
888,vshnu-1.0200.tar.gz,1115001128
2750,Menus-1.tar.gz,1115004848
2676,Ctype-0.02.tar.gz,1115013478
2737,Clipboard-0.02.tar.gz,1115014653
775,Test-Chunks-0.19.tar.gz,1115017684
775,Test-Chunks-0.20.tar.gz,1115017898
1306,Acme-MetaSyntactic-0.20.tar.gz,1115018012
2749,Spreadsheet-ReadSXC-0.02.tar.gz,1115019200
560,RPM-Specfile-1.19.tar.gz,1115023766
2751,XML-API-0.03.tar.gz,1115026044
1047,Module-CPANTS-Generator-0.30.tar.gz,1115028717
2198,slackget10-0.03.tar.gz,1115035332
2750,Menus-1.01.tar.gz,1115037635
2144,Rubric-0.09_03.tar.gz,1115041728
2198,slackget10-0.03b.tar.gz,1115042905
1788,Cache-Repository-0.02.tar.gz,1115050544
1324,Schedule-Depend-2.6.tar.gz,1115054974
2752,site_control-0.42.tar.gz,1115055086
179,Krb5-1.5.tar.gz,1115064050
775,Test-Chunks-0.21.tar.gz,1115065430
313,Rose-HTML-Objects-0.0143.tar.gz,1115067830
570,MARC-Detrans-1.2.tar.gz,1115068036
254,File-Defrag-0.03.tar.gz,1115072417
894,Email-MIME-XMTP-0.34.tar.gz,1115074244
1767,Win32-DirSize-1.13.tar.gz,1115076616
1090,Acme-Drunk-0.02.tar.gz,1115080132
695,CGI-FormBuilder-3.0201.tar.gz,1115083832
1090,Email-FolderType-Net-1.03.tar.gz,1115084909
1090,Email-Folder-IMAPS-1.03.tar.gz,1115085685
785,HTTP-Server-Simple-Mason-0.05.tar.gz,1115086571
