author_num,filename,date
336,WWW-Search-Ebay-2.205.tar.gz,1109641532
1621,Log-Dispatch-FileRotate-1.13.tar.gz,1109641742
2678,Win32-GUI-HyperLink-0.12.tar.gz,1109645124
2635,AZ-CGI-0.71.tar.gz,1109648824
2169,cpantester-0.01_09.tar.gz,1109650568
2580,Handel-0.10.tar.gz,1109652121
548,HTML-CalendarMonth-1.13.tar.gz,1109652243
785,HTTP-Server-Simple-0.03_02.tar.gz,1109656610
2635,AZ-CGI-0.72.tar.gz,1109659398
2422,WWW-Google-News-TW-0.09.tar.gz,1109664797
709,Array-Compare-1.12.tar.gz,1109668260
709,AudioFile-Info-1.07.tar.gz,1109669870
709,AudioFile-Info-1.08.tar.gz,1109670693
2048,Bundle-Catalyst-Everything-0.01.tar.gz,1109678939
1861,File-Copy-Link-0.061.tar.gz,1109682385
857,Class-DBI-View-0.06.tar.gz,1109682497
1299,Net-Gadu-0.10.tar.gz,1109682608
709,AudioFile-Info-MP3-Info-1.02.tar.gz,1109682719
1121,PerlIO-via-symlink-0.05.tar.gz,1109683218
1299,Net-Gadu-0.11.tar.gz,1109683427
1299,Net-Gadu-1.0.tar.gz,1109684951
709,AudioFile-Info-MP3-Tag-1.03.tar.gz,1109685253
112,CGI-Session-ID-UUID-0.01.tar.gz,1109685649
709,AudioFile-Info-Ogg-Vorbis-Header-1.06.tar.gz,1109685855
709,AudioFile-Info-Ogg-Vorbis-Header-PurePerl-1.03.tar.gz,1109686347
104,Yahoo-Search-1.0.1.tar.gz,1109686654
709,Calendar-Simple-1.12.tar.gz,1109687782
2257,OpenOffice-OODoc-1.305.tar.gz,1109690924
1639,Template-Plugin-String-Compare-0.01.tar.gz,1109695539
1998,Data-Phrasebook-0.18.tar.gz,1109697090
950,Taint-Runtime-0.02.tar.gz,1109697404
1121,SVK-0.30.tar.gz,1109697611
1998,Data-Phrasebook-Loader-Ini-0.02.tar.gz,1109697627
1121,SVN-Mirror-0.56.tar.gz,1109697738
1998,Data-Phrasebook-Loader-YAML-0.02.tar.gz,1109697851
1998,Regexp-Log-Common-0.02.tar.gz,1109698061
1998,Calendar-List-0.15.tar.gz,1109698617
2457,POE-Component-IRC-3.6.tar.gz,1109700605
2048,Catalyst-4.01.tar.gz,1109702678
2048,Catalyst-Model-CDBI-0.02.tar.gz,1109702696
2516,Image-ExifTool-4.73.tar.gz,1109705009
1998,WWW-Scraper-ISBN-Amazon_Driver-0.05.tar.gz,1109706525
1466,IO-Capture-Stdout-Extended-0.03.tar.gz,1109707206
1540,Template-Magic-1.35.tar.gz,1109709981
2679,PDF-Xtract-0.02.tar.gz,1109716526
1918,Finance-Bank-CreditMut-0.06.tar.gz,1109718133
475,Verilog-Perl-2.313.tar.gz,1109718249
475,SystemPerl-1.170.tar.gz,1109718266
475,SystemC-Vregs-1.260.tar.gz,1109718948
2584,XML-Genx-0.12.tar.gz,1109719956
511,CPAN-YACSmoke-0.03.tar.gz,1109721517
418,POSIX-strptime-0.01.tar.gz,1109723419
418,POSIX-strptime-0.02.tar.gz,1109724178
418,POSIX-strptime-0.03.tar.gz,1109724691
985,Sys-PortIO-0.01.tar.gz,1109725580
1688,Tie-Handle-ToMemory-0.10.tar.gz,1109729517
2580,Handel-0.11.tar.gz,1109730844
104,Yahoo-Search-1.0.2.tar.gz,1109731392
1003,Test-Harness-2.47_02.tar.gz,1109741003
2609,Gtk2-Ex-RecordsFilter-0.03.tar.gz,1109742714
2021,Kwiki-Yahoo-0.01.tar.gz,1109747317
2680,Text-ProcessMap-0.01.tar.gz,1109747621
1886,NetStumbler-Wap-0.08.tar.gz,1109767090
2436,psmon-1.14.tar.gz,1109767215
1998,Data-Phrasebook-Loader-XML-0.02.tar.gz,1109772204
1047,Module-CPANTS-Generator-0.26.tar.gz,1109773461
569,XML-DOM-XPath-0.08.tar.gz,1109774215
1685,XML-RSS-JavaScript-0.41.tar.gz,1109775241
1685,File-SAUCE-0.13.tar.gz,1109775739
380,IO-KQueue-0.27.tar.gz,1109775851
1685,WWW-EmpireTheatres-0.02.tar.gz,1109776730
380,IO-KQueue-0.28.tar.gz,1109776940
1685,JavaScript-RPC-0.06.tar.gz,1109777574
2510,Net-UCP-0.21.tar.gz,1109778151
1685,Syndication-ESF-0.05.tar.gz,1109778514
1006,PHP-0.05.tar.gz,1109778643
1685,File-Find-Rule-SAUCE-0.05.tar.gz,1109779310
2048,Catalyst-4.10.tar.gz,1109779331
475,SystemPerl-1.171.tar.gz,1109781398
1998,Data-Phrasebook-Loader-DBI-0.02.tar.gz,1109782713
