author_num,filename,date
104,Yahoo-Search-1.4.7.tar.gz,1112319543
2267,IOC-0.26.tar.gz,1112325744
2144,Rubric-0.07_05.tar.gz,1112329459
394,Devel-ebug-0.31.tar.gz,1112333943
1633,POE-Component-Client-TCPMulti-0.052.tar.gz,1112336332
394,Devel-ebug-0.32.tar.gz,1112336865
2693,WWW-Mixi-0.28.tar.gz,1112338298
394,Devel-ebug-0.33.tar.gz,1112345160
910,Kwiki-Atom-0.15.tar.gz,1112345929
2135,CGI-okTemplate-0.01.tar.gz,1112346810
1846,pod-mode-0.3.tgz,1112347883
1160,perl-5.9.2.tar.gz,1112349204
2648,PANT-0.16.tar.gz,1112356571
1847,Graphics-ColorNames-WWW-0.01_0001.tar.gz,1112364184
1847,Color-Calc-0.29_0002a.tar.gz,1112365060
2444,Proc-Forking-1.37.tar.gz,1112366310
511,CPAN-Mini-Tested-0.21.tar.gz,1112366441
2719,Oracle-Sqlldr-0.11.tar.gz,1112367458
475,Unix-Processors-2.030.tar.gz,1112368012
2048,HTML-Ajax-0.01.tar.gz,1112373286
2048,Catalyst-Plugin-Ajax-0.03.tar.gz,1112373398
2058,Kwiki-CachedDisplay-0.01.tar.gz,1112375221
1156,Set-Object-1.10.tar.gz,1112375906
548,HTML-CalendarMonth-1.15.tar.gz,1112378364
1045,List-MoreUtils-0.10.tar.gz,1112378384
1362,Business-OnlinePayment-Exact-0.01.tar.gz,1112381338
1050,Mail-Salsa-0.01.tar.gz,1112382662
2064,Apache-ClickPath-1.2.tar.gz,1112387305
1738,Geo-Distance-0.09.tar.gz,1112388484
2135,CGI-okTemplate-0.02.tar.gz,1112390768
1876,Graph-Timeline-1.1.tar.gz,1112390785
2658,DBD-Pg-1.40_03.tar.gz,1112399761
775,Perldoc-0.00_02.tar.gz,1112418658
1045,Mail-Transport-Dbx-0.05.tar.gz,1112424926
775,Perl6-Bible-0.10.tar.gz,1112426384
857,Kwiki-TypeKey-0.03.tar.gz,1112428478
394,Devel-ebug-0.34.tar.gz,1112428698
1718,CGI-UploadEasy-0.11.tar.gz,1112449838
2720,Win32-Word-Writer-0.01.tar.gz,1112453629
2144,Rubric-0.07_06.tar.gz,1112453757
2621,AI-NNFlex-0.22.tar.gz,1112454320
1084,Biblio-Thesaurus-0.25.tar.gz,1112455116
1084,Lingua-EN-NamedEntity-1.6.tar.gz,1112455228
1537,Astro-SpaceTrack-0.004.tar.gz,1112456486
2721,Text-Brew-0.02.tar.gz,1112456506
394,Devel-ebug-0.35.tar.gz,1112456634
2144,Acme-ProgressBar-1.12.tar.gz,1112456972
2144,Games-Board-1.010.tar.gz,1112458011
775,Perl6-Bible-0.11.tar.gz,1112459564
2221,Test-AutoBuild-1.0.3.tar.gz,1112461704
1764,Scalar-Util-Clone-0.01.tar.gz,1112467310
2516,Image-ExifTool-4.93.tar.gz,1112471201
1547,Mozilla-DOM-0.01.tar.gz,1112472557
1356,XML-XBEL-1.4.tar.gz,1112475834
1537,Astro-SpaceTrack-0.005.tar.gz,1112477381
1639,Template-Plugin-TagRescue-0.05.tar.gz,1112477970
2644,PDL-Graphics-X-0.04.tar.gz,1112480213
2644,PDL-Graphics-X-Fits-0.01.tar.gz,1112480235
1639,Template-Plugin-TagRescue-0.06.tar.gz,1112481500
857,Kwiki-Footnote-0.01.tar.gz,1112499269
2551,CPAN-Mini-Inject-0.18.tar.gz,1112502282
1623,Bio-ExtractNE-1.06.tar.gz,1112506125
1045,Unix-Statgrab-0.03.tar.gz,1112507656
775,Perl6-Bible-0.12.tar.gz,1112517352
1454,SOAP-Lite-0.65_4.tar.gz,1112520017
2023,Module-ThirdParty-0.01.tar.gz,1112520702
59,mp3rename-1.15.tar.gz,1112521495
38,Text-German-0.04.tar.gz,1112521726
919,JavaScript-Librarian-0.01.tar.gz,1112522068
38,Text-German-0.05.tar.gz,1112522298
38,Text-German-0.06.tar.gz,1112523668
2023,Net-P0f-0.02.tar.gz,1112524855
2023,CPAN-Dependency-0.07.tar.gz,1112525558
775,FreePAN-0.10.tar.gz,1112526238
2058,FreePAN-SVKMirror-0.01.tar.gz,1112526259
2058,FreePAN-IndexPages-0.01.tar.gz,1112526388
2023,Config-Natural-1.01.tar.gz,1112527182
2023,NetworkInfo-Discovery-NetBIOS-0.05.tar.gz,1112527771
38,perlindex-1.4.tar.gz,1112527882
2023,NetworkInfo-Discovery-Nmap-0.02.tar.gz,1112531795
2023,NetworkInfo-Discovery-Rendezvous-0.05.tar.gz,1112533285
394,Devel-ebug-0.36.tar.gz,1112533682
2632,Acme-MorningMusume-0.01.tar.gz,1112533794
2023,Shell-Parser-0.03.tar.gz,1112534009
2023,Syntax-Highlight-HTML-0.04.tar.gz,1112534713
2023,Syntax-Highlight-Shell-0.04.tar.gz,1112535410
2058,FreePAN-IndexPages-0.02.tar.gz,1112540015
1680,VCS-Lite-0.07.tar.gz,1112540584
1553,WWW-CheckSite-0.013.tar.gz,1112542539
1003,Test-WWW-Mechanize-1.05_02.tar.gz,1112549053
313,Rose-DB-Object-0.04.tar.gz,1112549932
2023,Parse-Syslog-Mail-0.02.tar.gz,1112552127
1547,Mozilla-DOM-0.02.tar.gz,1112562178
1927,Lingua-PT-Hyphenate-1.05.tar.gz,1112563548
1927,Mail-LocalDelivery-0.21.tar.gz,1112563566
1927,Text-Ngram-0.06.tar.gz,1112563582
394,String-Koremutake-0.30.tar.gz,1112570195
1306,Acme-MetaSyntactic-0.16.tar.gz,1112570792
511,CPAN-Mini-Tested-0.22.tar.gz,1112571971
511,Text-Truncate-1.02.tar.gz,1112571989
511,Module-Phalanx100-0.05.tar.gz,1112572112
511,Log-Dispatch-Win32EventLog-0.13.tar.gz,1112572347
2144,Games-Goban-1.007.tar.gz,1112582484
612,File-Rsync-0.38.tar.gz,1112583501
910,Perl6-Pugs-6.0.14.tar.gz,1112588497
1944,DBD-mysql-2.9006.tar.gz,1112588820
1155,Games-Go-Image2SGF-1.00.tar.gz,1112591488
1689,File-Format-RIFF-0.9.1.tar.gz,1112592561
760,Locale-KeyedText-1.03.tar.gz,1112595646
760,SQL-Routine-0.58.tar.gz,1112595664
760,Rosetta-0.43.tar.gz,1112595683
760,SQL-Routine-SQLBuilder-0.17.tar.gz,1112595795
760,Rosetta-Engine-Generic-0.17.tar.gz,1112595815
1045,Event-Lib-0.05.tar.gz,1112601752
1214,CORBA-IDL-2.44.tar.gz,1112603127
1214,CORBA-JAVA-2.46.tar.gz,1112603144
2719,Oracle-Sqlldr-0.12.tar.gz,1112603264
2064,Apache-ClickPath-1.2a.tar.gz,1112605959
2719,Oracle-Sqlldr-0.13.tar.gz,1112608034
2058,Kwiki-Simple-Server-HTTP-0.01.tar.gz,1112610023
2058,Kwiki-Simple-Server-HTTP-0.02.tar.gz,1112611425
1029,CGI-Uploader-1.1_1.tar.gz,1112619971
775,Spoon-0.22.tar.gz,1112626185
775,Kwiki-0.38.tar.gz,1112626761
775,Spork-0.20.tar.gz,1112626779
448,String-CRC32-1.3.tar.gz,1112627615
