author_num,author_id
1,ANDK
2,ILYAZ
3,NWINT
4,KJALB
5,TYEMQ
6,WPS
7,AMOSS
8,MICB
9,GBOSS
10,FMC
11,JACKS
12,GBARR
13,SPIDB
14,JKAST
15,NI-S
16,AGUL
17,PMQS
18,GAND
19,OZAWA
20,IANPX
21,YVESP
22,GAAS
23,GSM
24,STANM
25,YLU
26,RAM
27,AKSTE
28,MEWP
29,WINKO
30,TOMZO
31,ERICA
32,ADESC
33,BENLI
34,GSAR
35,GUYDX
36,SBECK
37,TIMB
38,ULPFR
39,ASHER
40,JHI
41,JONO
42,TOMC
43,RIK
44,BJEPS
45,PEASE
46,ALSCH
47,STBEY
48,MGH
49,LDS
50,DMEGG
51,JAMCC
52,UWEH
53,EHOOD
54,PVERD
55,JARW
56,ERYQ
57,LFINI
58,MJD
59,JV
60,SWMCD
61,TOMFA
62,MERGL
63,FSG
64,ANDYD
65,GEHIC
66,MRKAE
67,PRATP
68,CJM
69,LWALL
70,AMW
71,KGB
72,BMIDD
73,MIKEH
74,DMR
75,DOUGM
76,MUIR
77,RVA
78,NEILB
79,SKUNZ
80,LUKKA
81,DAVEROTH
82,RURBAN
83,JMURPHY
84,MHM
85,FRANCOC
86,GARY
87,MSCHILLI
88,PVHP
89,JDALLMAN
90,JDUNCAN
91,JOCASA
92,RBOW
93,GLOVER
94,JOEHIL
95,SDOWD
96,SRIRAM
97,BPOWERS
98,LUSOL
99,EWALKER
100,SHGUN
101,LUTHERH
102,KJOHNSON
103,BOBSIDE
104,JFRIEDL
105,PVANDRY
106,RJRAY
107,BRADAPP
108,SHUTTON
109,JPRAVETZ
110,JMAHAN
111,DMACKS
112,RSE
113,SKIMO
114,RMOSE
115,RHNELSON
116,JJDG
117,PSEIBEL
118,FLEITNER
119,SAMPO
120,JONG
121,DEWEG
122,JNH
123,HPALM
124,JOHNH
125,SHIGIO
126,ALTITUDE
127,FPIVARI
128,GWARD
129,NEMWS
130,CHIPS
131,EGROSS
132,TRIAS
133,KRISHPL
134,MARKIM
135,JOHNL
136,VKHERA
137,HTOUG
138,JAKE
139,PETERGAL
140,JPC
141,EDLIU
142,CHRISCHU
143,CNANDOR
144,SZECK
145,ACALPINI
146,AWIN
147,PRYAN
148,FTASSIN
149,MFUHR
150,HAYASHI
151,MIKEDLR
152,TIMPX
153,MVERB
154,RRA
155,CEVANS
156,MRJC
157,JANPAZ
158,SMPILL
159,DDUMONT
160,SREZIC
161,DBRESH
162,DHUNT
163,JROGERS
164,PHOENIX
165,GRICHTER
166,HVDS
167,JCRISTY
168,FRAMM
169,CARL
170,MORTY
171,TWENRICH
172,WATANABE
173,MARTINB
174,ROSCH
175,SHARI
176,PHENSON
177,MJAEG
178,DSTALDER
179,JHORWITZ
180,KENFOX
181,JPRIT
182,SMCCAM
183,JTOBEY
184,DBEAZLEY
185,JGROENVEL
186,CDYBED
187,DSUGAL
188,ALANCITT
189,GMLEWIS
190,ASHTED
191,CHRWOLF
192,DBONNER
193,JHPB
194,ABURLISON
195,DCONWAY
196,BARTS
197,JASONS
198,COLINK
199,BSUGARS
200,CHRMASTO
201,MPIOTR
202,NJENSEN
203,PLISTER
204,JWIED
205,FLETCH
206,SHERWOOD
207,JGLICK
208,JWIEGLEY
209,MATKIN
210,CXL
211,LMOLNAR
212,KMACLEOD
213,JVENIER
214,JANL
215,GENJISCH
216,NWALSH
217,MSCHWARTZ
218,JCOSTOM
219,BDFOY
220,JOSERODR
221,KTORP
222,ACH
223,CDONLEY
224,MGRABNAR
225,WAYNEDAV
226,MSCHWERN
227,CTDEAN
228,JNOLAN
229,FIMM
230,SFARRELL
231,AUSCHUTZ
232,GBACON
233,SGMIANO
234,BPANNIER
235,AGIERTH
236,CLINTDW
237,MIKESTOK
238,MIKEKING
239,MSOLOMON
240,FJH
241,JHOWELL
242,CHTTRAX
243,MAURICE
244,IKETRIS
245,SPP
246,GTHYNI
247,ANTRO
248,GABOR
249,STLACY
250,JBAKER
251,SCOTTVR
252,CFRETER
253,ABW
254,MLEHMANN
255,WRW
256,SPURKIS
257,BARTLEY
258,GBAUER
259,BRIANSP
260,BHUGHES
261,OTAYLOR
262,MSHOYHER
263,IANC
264,GOSSAMER
265,BASKAR
266,MARKM
267,KENSHAN
268,PAULG
269,MJS
270,ABH
271,GSPIVEY
272,SFINK
273,ALANSZ
274,MERLYN
275,KWILLIAMS
276,MARCLANG
277,SRZ
278,PARKER
279,DCARRIGAN
280,CARLADLER
281,JMM
282,ZENIN
283,ABIGAIL
284,REDEN
285,PTILL
286,DKWILSON
287,NIKIP
288,GDAMORE
289,MDARWIN
290,SBURKE
291,JBODNAR
292,DANIEL
293,NIGELM
294,AJOHNSON
295,SBALA
296,MAHEX
297,JLBEC
298,HIGHTOWE
299,CHGEUER
300,DSB
301,PHILIPA
302,GGONTER
303,MIVKOVIC
304,BZAJAC
305,SMORTON
306,BRIAN
307,JLLEROY
308,GLENNWOOD
309,MARKPRIOR
310,DSOUFLIS
311,BROCSEIB
312,DJBECKETT
313,JSIRACUSA
314,CHAMAS
315,TOMHUGHES
316,LEITE
317,KSTAR
318,TERDOEST
319,AWRIGLEY
320,JTURNER
321,RFOLEY
322,LDACHARY
323,TROCKIJ
324,SKINGTON
325,LUISMUNOZ
326,JGBISHOP
327,YENYA
328,ABARCLAY
329,HMBRAND
330,HAKESTLER
331,CHSTROSS
332,DURIST
333,IGUTHRIE
334,PHOENIXL
335,SVENH
336,MTHURN
337,FDESAR
338,NJLEON
339,PMKANE
340,DOUGL
341,CCWF
342,RBERJON
343,JSWARTZ
344,PMH
345,CHTHORMAN
346,AEPAGE
347,SAM
348,BBIRTH
349,TIMPOTTER
350,MDOWNING
351,MFX
352,JMOORE
353,NPESKETT
354,DONS
355,DCOPPIT
356,KMELTZ
357,SMALYSHEV
358,JNEYSTADT
359,FKOLODNY
360,PETERM
361,JEFFH
362,PSHARPE
363,JZAWODNY
364,JARIAALTO
365,NREICHEN
366,MHAMILTON
367,JBRIGGS
368,WOODY
369,OEVANS
370,AKIRA
371,DJPADZ
372,ASPIDER
373,DTOWN
374,BHOLZMAN
375,EESTABROO
376,RCAPUTO
377,RKOBES
378,CHOLET
379,EISEN
380,MSERGEANT
381,DEP
382,COOPERCL
383,KRBURTON
384,RSAVAGE
385,WMARQ
386,HLHAMILT
387,ROBF
388,JLAPEYRE
389,DCARRAWAY
390,AMEDINA
391,DIONALM
392,UGEN
393,PRATZLAFF
394,LBROCARD
395,RANDYM
396,GDR
397,EVO
398,ENNO
399,RBS
400,JCTEBBAL
401,ANATRA
402,AOCINAR
403,KRAEHE
404,SKOLYCHEV
405,RANT
406,SHAWNPW
