author_num,filename,date
36,DateManip-5.04.tar.gz,838923242
22,libwww-perl-5.01.tar.gz,839003938
102,MailFolder-0.03.tar.gz,839094055
2,Data-Flow-0.04.tar.gz,839197080
2,C-Scan-0.2.tar.gz,839210220
2,perlinfos2.zip,839226540
59,GetoptLong-2.4b1.tar.gz,839236503
38,Wais-2.114.tar.gz,839254560
81,Win32odbc_v960722.zip,839299538
2,perlos2.fix1.zip,839396160
49,CGI.pm-2.22.tar.gz,839409840
106,Image-Size-1.0.tar.gz,839434858
107,PodFilter-0.01.tar.gz,839480562
107,PodUsage-0.01.tar.gz,839480662
107,PodPlainText-0.01.tar.gz,839480665
38,Wais-2.115.tar.gz,839481360
15,perl5.003_02a.tar.gz,839546030
108,IniConf.pm-0.91.tar.gz,839622573
109,pod2ps-1.0.1.tar.gz,839623526
15,perl5.003_02.tar.gz,839704047
59,GetoptLong-2.4b2.tar.gz,839706577
68,LibA2-0.002.tar.gz,839911532
12,MailTools-1.06.tar.gz,839929337
49,CGI.pm-2.23.tar.gz,840010620
3,MD5-1.7.tar.gz,840021464
76,CGI-Out-96.081401.tar.gz,840033960
65,PGP-0.3a.tar.gz,840051711
110,iodbc_ext_0_1.tar.gz,840141559
4,PodSimplify-0.04.tar.gz,840222850
84,DBD-DB2-0.60.tar.gz,840228574
1,CGI-XA-0.22301-alpha.tar.gz,840320591
1,CGI-XA-0.22302-alpha.tar.gz,840383248
1,CGI-XA-0.22303-alpha.tar.gz,840463342
38,Wais-2.116.tar.gz,840469140
107,PodParser-1.00.tar.gz,840496395
75,DCE-Perl-0.11.tar.gz,840548965
49,CGI.pm-2.24.tar.gz,840618540
8,Compiler-a2.tar.gz,840724200
111,Sort-PolySort-0.12.tar.gz,840874193
34,Data-Dumper-2.03b.tar.gz,841070219
34,MLDBM-1.22.tar.gz,841070328
60,News-Newsrc-1.02.tar.gz,841071281
90,Penguin-Easy-1.1.tar.gz,841180100
64,perl5.003_03.tar.gz,841250627
34,Data-Dumper-2.04b.tar.gz,841263109
15,Tk-b12.tar.gz,841277941
99,Parallel-Pvm-1.0.tar.gz,841278105
76,Text-Tabs+Wrap-96.082801.tar.gz,841299000
73,mvend200.tar.gz,841375753
47,gen_tree-1.0.tar.gz,841526203
