author_num,filename,date
47,gen_tree-1.1.tar.gz,841581115
76,Time-modules-96.090101.tar.gz,841631580
76,Text-Tabs+Wrap-96.090101.tar.gz,841631820
8,Compiler-a3.tar.gz,841673040
1,Bundle-PleaseIgnore-0.01.tar.gz,841704575
64,perl5.003_04.tar.gz,841706730
1,MakeMaker-5.38.tar.gz,841788275
47,gen_tree-1.2.tar.gz,841862874
106,Image-Size-1.1.tar.gz,841882716
12,libnet-1.01.tar.gz,841907016
107,AtExit-1.02.tar.gz,841951521
2,C-Scan-0.3.tar.gz,841995780
106,Image-Size-1.2.tar.gz,842025057
15,Tk400.200.tar.gz,842058524
49,GD-1.10.tar.gz,842115180
112,eperl-1.4.tar.gz,842174546
1,MsqlPerl-1.11.tar.gz,842190373
73,mvend201.tar.gz,842205229
75,mod_perl-0.81.tar.gz,842220812
49,GD-1.11.tar.gz,842265420
32,DBD-Informix-0.22.tar.gz,842297220
49,GD-1.12.tar.gz,842357040
49,CGI.pm-2.25.tar.gz,842365380
1,CPAN-0.17-alpha.tar.gz,842375639
32,DBD-Informix-0.23.tar.gz,842378220
1,CPAN-0.20-alpha.tar.gz,842388660
2,Term-ReadLine-0.92.tar.gz,842424000
49,GD-1.13.tar.gz,842426820
12,IO-1.10.tar.gz,842441202
22,libwww-perl-5.02.tar.gz,842458797
1,CPAN-0.26a.tar.gz,842507615
12,IO-1.11.tar.gz,842509051
1,CPAN-0.27a.tar.gz,842536899
49,GD-1.14.tar.gz,842544660
64,perl5.003_05.tar.gz,842559042
12,IO-1.11-1.tar.gz,842611005
2,OS2-SoftInstaller-0.01.tar.gz,842663580
38,Logfile-0.114.tar.gz,842853900
59,GetoptLong-2.4b3.tar.gz,842899798
1,CPAN-0.28a.tar.gz,842905139
1,CPAN-0.29a.tar.gz,842980491
1,CPAN-0.30a.tar.gz,843110657
12,IO-1.12.tar.gz,843117604
1,CPAN-0.31a.tar.gz,843216001
1,CPAN-0.35a.tar.gz,843420633
1,CPAN-0.36a.tar.gz,843483323
1,CPAN-0.37a.tar.gz,843487544
37,DBD-Oracle-0.38.tar.gz,843495960
37,DBI-0.72.tar.gz,843496380
37,DBD-Oracle-0.39.tar.gz,843502020
113,FCGI-0.25.tar.gz,843673737
32,DBD-Informix-0.24.tar.gz,843749160
114,Net-Ping-2.02.tar.gz,843798978
1,CPAN-0.39a.tar.gz,843828727
115,SyslogScan-0.21.tar.gz,843834169
116,checkbot-1.39.tar.gz,843920256
117,MethodMaker-0.9.tar.gz,843940632
1,CPAN-0.40a.tar.gz,843943891
38,NNML-1.04.tar.gz,844099260
22,libwww-perl-5.03.tar.gz,844124317
