author_num,filename,date
28,DBD-Sybase-0.01.tar.gz,823272213
69,perl5.002b3.tar.gz,823333694
11,EventServer-2.3.tar.gz,823715183
68,Getopt-Mixed-1.008.tar.gz,823836529
37,Safe-2.01.tar.gz,823982684
21,llg-1.07.tar.gz,824135315
37,DBI-0.67.tar.gz,824422020
24,OpenGL-0.4.tar.gz,824447700
34,MLDBM-1.20.tar.gz,824521307
11,Usage-0.10.tar.gz,824557114
40,BSD-Resource-1.03.tar.gz,824566705
70,ConfigReader-0.5.tar.gz,824748294
55,Math-VecStat-0.03.tar.gz,824804333
28,Sybase-BCP-0.01.tar.gz,824821306
61,Statistics-LTU-2.7.tar.gz,824831562
60,Set-IntSpan-1.01.tar.gz,825022168
71,PGPLOT1.0a_src.tar.gz,825057000
71,PGPLOT1.0b_src.tar.gz,825057000
60,News-Newsrc-1.01.tar.gz,825066013
47,DateCalc-1.4.tar.gz,825352425
27,ShowTable-1.12.tar.gz,825614561
