author_num,filename,date
1,MsqlPerl-1.07.tar.gz,833664056
91,futils.02Jun96.zip,833773499
92,HyperCal_2.3.tar.gz,833808820
86,Stream-1.00.tar.gz,833810195
92,conference_1.4.tar.gz,833819197
60,Set-IntSpan-1.02.tar.gz,833829254
74,Class-Eroot-19960603.tar.gz,833833072
93,Cdk-ext-4.7.0.tar.gz,833837242
94,traceFunc-0.1.tar.gz,833838298
38,Logfile-0.113.tar.gz,833892060
12,Net-FTP-1.18_2.tar.gz,833970709
37,DBD-Oracle-0.32.tar.gz,833986560
95,POP3Client-1_14.tar.gz,834070508
96,Jeeves1.0.tar.gz,834094502
56,MIME-parser-1.10.tgz,834128989
42,Date-GetDate-2.00.tar.gz,834323100
42,Socket-1.5.tar.gz,834323520
97,Tk-FileDialog-1.3.tar.gz,834352528
97,Sybase-Login-1.2.tar.gz,834352640
97,Tk-WaitBox-1.2.tar.gz,834353831
85,Resources-1.02.tar.gz,834356940
60,Set-IntSpan-1.03.tar.gz,834358265
84,DBD-DB2-0.57.tar.gz,834382492
81,Win32Pipe_v960610.zip,834392011
85,Resources-1.03.tar.gz,834442449
75,ExtUtils-embed-1.03.tar.gz,834461309
98,Tie-Watch-0.92.tar.gz,834468047
81,Win32GD_v960611.zip,834489904
84,DBD-DB2-0.58.tar.gz,834602693
38,Pconvert-1.04.tar.gz,834670080
92,conference_2.0.tar.gz,834671518
76,Time-modules-96.061301.tar.gz,834682620
92,postcard.tar.gz,834689157
98,Tie-Watch-0.93.tar.gz,834800917
6,Curses-1.0.tar.gz,834804549
37,DBI-0.70.tar.gz,834959280
76,CGI-Out-96.061703.tar.gz,835037400
76,CGI-Out-96.061704.tar.gz,835047480
75,ExtUtils-embed-1.04.tar.gz,835126272
75,mod_perl-0.60a4.tar.gz,835126915
37,DBD-Oracle-0.33.tar.gz,835139820
1,MakeMaker-5.33.tar.gz,835142124
84,DBD-DB2-0.59.tar.gz,835366235
8,Mmap-a2.tar.gz,835370460
37,DBD-Oracle-0.34.tar.gz,835402440
37,DBD-Oracle-0.35.tar.gz,835402500
12,libnet-1.00.tar.gz,835599998
12,IO-1.08.tar.gz,835601800
4,SortVersions-1_0.tar.gz,835609007
56,MIME-parser-1.11.tar.gz,835643872
12,TimeDate-1.03.tar.gz,835703017
17,Compress-Zlib-0.4.tar.gz,835712667
17,Filter-1.10.tar.gz,835715796
75,mod_perl-0.60a5.tar.gz,835717796
47,DateCalc-2.2.tar.gz,835799334
1,MsqlPerl-1.08.tar.gz,835838340
99,Pvm-0.9.tar.gz,835872724
74,DProf-19960626.tar.gz,835893738
100,Sprite-3.1.tar.gz,835936128
1,Test-Harness-1.09.tar.gz,835998615
