author_num,filename,date
1114,TipJar-MTA-0.07.tar.gz,1054541015
1870,Crypt-Misty1-1.1.0.tar.gz,1054541416
1838,PDF-Reuse-0.06.tar.gz,1054541434
1899,Data-Uniqid-0.1.tar.gz,1054542905
1895,Net-ACL-0.06.tar.gz,1054545255
748,CGI-Application-3.1.tar.gz,1054558910
438,Text-Metaphone-Amharic-0.08.tar.gz,1054559021
1878,Net-Z3950-AsyncZ-0.05.tar.gz,1054559750
12,libnet-1.14.tar.gz,1054559873
1479,Sub-Assert-1.20.tar.gz,1054561232
1212,HTML-TokeParser-Simple-2.0.tar.gz,1054563462
646,Lucene-QueryParser-1.02.tar.gz,1054564146
1898,Data-SearchReplace-1.01.tar.gz,1054564559
1895,Net-BGP-Router-0.04.tar.gz,1054568755
1467,Net-CUPS-0.25.tar.gz,1054569245
1870,Crypt-Khazad-1.0.0.tar.gz,1054572361
1125,CGI-Framework-0.04.tar.gz,1054572474
785,Net-RT-0.00_02.tar.gz,1054573531
1318,PPM-Repositories-0.04.tar.gz,1054575360
1050,File-Scan-0.55.tar.gz,1054576051
1651,Bundle-QuadPres-0.8.0.tar.gz,1054576445
12,TimeDate-1.15.tar.gz,1054577422
1899,Data-Uniqid-0.11.tar.gz,1054577643
1754,DateTime-Format-Roman-0.01.tar.gz,1054578236
1754,Bundle-DateTime-0.05.tar.gz,1054578733
1609,XML-Smart-1.2.tar.gz,1054579164
1821,Parse-DebControl-1.6.tar.gz,1054579974
683,Date-LastModified-0.60.tar.gz,1054580558
504,Regexp-Optimizer-0.10.tar.gz,1054584830
374,IO-Shaper-0.2.tar.gz,1054586586
1873,PeopleSoft-1.0.1.tar.gz,1054589527
1618,Filesys-CygwinPaths-0.04.tar.gz,1054590688
775,CGI-Kwiki-0.15.tar.gz,1054595165
1900,IRC-Bot-0.01.tar.gz,1054596053
1548,cpan2rpm-2.019.tar.gz,1054598748
1466,List-Compare-0.18.tar.gz,1054599277
1241,DateTime-Format-Mail-0.25.tar.gz,1054603428
785,DBIx-SearchBuilder-0.83_04.tar.gz,1054610980
1784,XML-RSS-Parser-0.2.tar.gz,1054611979
785,DBIx-SearchBuilder-0.83_05.tar.gz,1054612848
275,Module-Build-0.18_02.tar.gz,1054614418
87,Net-Amazon-0.05.tar.gz,1054617516
1784,XML-RSS-Parser-0.2a.tar.gz,1054619341
1144,SAP-Rfc-1.14.tar.gz,1054622659
1870,Crypt-Anubis-1.0.0.tar.gz,1054626458
384,DBIx-HTML-PopupRadio-1.08.tgz,1054627715
847,Finance-Currency-Convert-Yahoo-0.043.tar.gz,1054630739
384,DBIx-HTML-LinkedMenus-1.05.tgz,1054630943
12,TimeDate-1.16.tar.gz,1054631053
1901,Nagios-Web_Trx-0.01.tar.gz,1054638256
1873,PeopleSoft-1.02.tar.gz,1054639555
438,Text-Metaphone-Amharic-0.09.tar.gz,1054644787
1784,XML-RSS-Parser-0.2b.tar.gz,1054648872
1784,XML-RSS-Parser-0.21.tar.gz,1054651021
1284,Math-Business-BlackScholes-0.05.tar.gz,1054653182
87,Log-Log4perl-0.33.tar.gz,1054653961
1053,UML-State-0.02.tar.gz,1054656992
1162,Config-Yacp-1.15.tar.gz,1054658243
1870,Crypt-Anubis-1.0.1.tar.gz,1054658461
438,Regexp-Ethiopic-0.11.tar.gz,1054658478
1870,Crypt-Khazad-1.0.1.tar.gz,1054658495
1870,Crypt-Misty1-1.1.1.tar.gz,1054658614
554,Time-Local-1.05.tar.gz,1054662764
1838,PDF-Reuse-Barcode-0.01.tar.gz,1054664801
1900,IRC-Bot-0.02.tar.gz,1054666118
739,Tk-ToolBar-0.05.tar.gz,1054666606
1548,Proc-PID-File-1.21.tar.gz,1054670717
1902,Log-Dispatch-File-Rolling-1.00.tar.gz,1054677844
473,HTML-PopupTreeSelect-1.0.tar.gz,1054679819
1584,SVG-Plot-0.05.tar.gz,1054681119
1363,Xcalibur-Rawfile-0.1.tar.gz,1054683752
1901,Nagios-WebTransact-0.01.tar.gz,1054684055
1548,Proc-PID-File-1.22.tar.gz,1054687042
1903,File-Dircmp-1.0.tar.gz,1054689000
1623,Bio-Tools-MT-0.01.tar.gz,1054690476
1754,DateTime-Format-Roman-0.02.tar.gz,1054695777
1631,Apache-PAR-0.20.tar.gz,1054696178
1073,PDL-2.4.0.tar.gz,1054697557
1867,Regexp-Tr-0.04.tar.gz,1054705904
760,Rosetta-0.11.tar.gz,1054710371
1870,Crypt-Noekeon-1.0.0.tar.gz,1054712526
1870,Crypt-Anubis-1.0.2.tar.gz,1054712923
1635,Class-DBI-ToSax-0.07.tar.gz,1054720457
1901,Nagios-WebTransact-0.02.tar.gz,1054720757
