author_num,filename,date
1020,XML-Handler-Pdb-0.1.tar.gz,1049157330
1373,Lingua-JA-Mail-0.01.tar.gz,1049164598
1159,Net-Socket-NonBlock-0.15.tar.gz,1049167051
1373,Mail-ISO2022JP-0.06.tar.gz,1049167731
853,Tk-Stderr-1.2.tar.gz,1049169957
554,DateTime-Format-MySQL-0.02.tar.gz,1049179644
1266,Filter-Microsoft-4.01.tar.gz,1049184761
1241,DateTime-Format-IBeat-0.14.tar.gz,1049193040
656,OODoc-0.02.tar.gz,1049198286
1635,Class-DBI-ToSax-0.04.tar.gz,1049199755
1583,Apache-LoadAvgLimit-0.02_02.tar.gz,1049204496
1119,Module-Info-0.19.tar.gz,1049205850
1805,Astro-Constants-0.09.tar.gz,1049206844
399,IPC-Run3-0.007.tar.gz,1049206956
1138,Tie-Google-0.03.tar.gz,1049208828
570,WWW-Wikipedia-0.3.tar.gz,1049210476
325,Net-FTPServer-PWP-1.21.tar.gz,1049213281
380,Net-DCCIf-0.01.tar.gz,1049214082
241,FAQ-OMatic-2.718.tar.gz,1049222858
1011,Net-DNAT-0.12.tar.gz,1049225735
1537,Win32-Process-Info-0.013.tar.gz,1049225851
414,Video-DVDRip-0.50.10.tar.gz,1049228746
826,Set-Infinite-0.46.tar.gz,1049230404
1162,Config-Yacp-1.1.tar.gz,1049231384
646,Text-Context-3.0.tar.gz,1049233443
646,Text-Context-EitherSide-1.1.tar.gz,1049233458
1138,DBD-Google-0.05.tar.gz,1049233663
1373,Lingua-JA-Fold-0.01.tar.gz,1049234438
1397,CGI-Wiki-Simple-0.08.tar.gz,1049235804
785,Business-Hours-0.03.tar.gz,1049239687
1241,DateTime-Format-IBeat-0.15.tar.gz,1049240276
567,Devel-FakeOSName-0.01.tar.gz,1049240601
668,Cluster-Init-0.117.tar.gz,1049241380
325,Net-Radius-1.44.tar.gz,1049245437
668,OpenMosix-HA-0.51.tar.gz,1049249816
668,Cluster-Init-0.118.tar.gz,1049255364
668,OpenMosix-HA-0.511.tar.gz,1049256819
1749,DateTime-Event-Easter-1.00.02.tgz,1049258839
