author_num,filename,date
34,perl-5.5.670.tar.gz,951896099
380,Win32-ASP-2.12.tar.gz,951920227
666,Net-Domain-1.00.tar.gz,951937760
555,Apache-iNcom-0.08.tar.gz,951940702
16,Crypt-PGP5-1.23.tar.gz,951941261
612,File-Rsync-0.12.tar.gz,951942639
300,Argv-0.50.tar.gz,951944738
300,ClearCase-Argv-0.21.tar.gz,951944754
412,httpi-1.2.1.tar.gz,951949552
403,XML-Filter-Hekeln-0.04.tar.gz,951967091
403,XML-Handler-YAWriter-0.13.tar.gz,951967106
667,Bundle-XML-0.1.tar.gz,951969657
585,Glade-Perl-0.51.tar.gz,951977194
253,Template-Toolkit-1.04.tar.gz,951985543
668,IPC-Session-0.03.tar.gz,951992059
336,Bundle-WWW-Search-ALL-0.9.tar.gz,952012113
336,WWW-Search-Excite-2.06.tar.gz,952014752
634,Hardware-Verilog-Parser-0.11.tar.gz,952018478
375,IMAP-Admin-1.2.0.tar.gz,952018674
375,IMAP-Admin-1.2.1.tar.gz,952020680
258,HTTP-Request-Form-0.6.tar.gz,952021962
479,CGI-Minimal-1.03.tar.gz,952024783
669,Solaris-ACL-0.05.tar.gz,952029232
26,Storable-0.6.9.tar.gz,952036193
26,LockFile-Simple-0.2.2.tar.gz,952036751
371,Finance-YahooQuote-0.13.tar.gz,952043553
644,OO-DateTime-0.01.tar.gz,952046645
259,Db-Documentum-1.3.tar.gz,952047852
644,CGI-ClientError-0.03.tar.gz,952048772
488,File-MMagic-1.02.tar.gz,952071680
330,Statistics-ROC-0.02.tar.gz,952097419
12,Scalar-List-Utils-1.01.tar.gz,952097706
181,Event-0.71.tar.gz,952114454
508,Imager-0.32.tar.gz,952176512
567,Apache-mod_perl_guide-1.21.tar.gz,952196478
538,DBD-ODBC-0.25.tar.gz,952207146
478,Text-Tmpl-0.14.tar.gz,952219196
76,Object-Transaction-0.95.tar.gz,952242360
59,Getopt-Long-2.21.tar.gz,952287096
608,XML-Simple-1.03.tar.gz,952289917
473,IPC-SharedCache-1.2.tar.gz,952290295
473,HTML-Template-1.6.tar.gz,952290310
26,Log-Agent-0.1.3.tar.gz,952295638
26,Log-Agent-Rotate-0.1.0.tar.gz,952295744
75,mod_perl-1.21_01.tar.gz,952306351
538,DBD-ODBC-0.26.tar.gz,952313335
664,File-ReadBackwards-0.92.tar.gz,952313894
618,CGI-Seamstress-0.2.tgz,952331282
59,Getopt-Long-2.21a.tar.gz,952331297
12,libnet-1.07.tar.gz,952336270
22,HTML-Parser-3.06.tar.gz,952351215
670,File-Repl0.4.tar.gz,952357038
670,File-Repl-0.4.tar.gz,952357053
602,MQSeries-1.09.tar.gz,952362010
1,DB_File-SV18x-kit-0.06.tar.gz,952362659
671,LEGO-RCX-0.9.tar.gz,952367742
290,Tree-DAG_Node-1.02.tar.gz,952380142
