author_num,filename,date
76,Callback-1.05.tar.gz,1086057960
1980,Games-Cards-Poker-1.2.4610lBw.tgz,1086076098
1165,Data-Serializer-0.25.tar.gz,1086094232
937,Cisco-ACL-0.11.tar.gz,1086104021
1970,Tie-Simple-1.01.tar.gz,1086106935
2263,Math-zap-1.01.tar.gz,1086110166
2263,Math-Zap-1.01.tar.gz,1086110624
2338,Time-Piece-DB2-0.04.tar.gz,1086112366
2338,Time-Piece-DB2-0.05.tar.gz,1086113255
1206,Cgi-Simple-0.075.tar.gz,1086114427
1029,Test-XML-Valid-0.03.tar.gz,1086114568
1811,Bundle-MusicBrainz-Server-0.01.tar.gz,1086115169
1029,Test-XML-Valid-0.04.tar.gz,1086115299
910,LWP-Authen-Wsse-0.02.tar.gz,1086119242
2037,Chemistry-InternalCoords-0.10.tar.gz,1086121442
2037,Chemistry-File-Mopac-0.10.tar.gz,1086121574
910,LWP-Authen-Wsse-0.03.tar.gz,1086122239
2351,Lingua-SV-Num2Word-0.05.tar.gz,1086122842
739,Tk-Win32RotLabel-0.3.tar.gz,1086123532
1906,Tie-FormA-0.01.tar.gz,1086124129
2218,TAM-Admin-0.3.tar.gz,1086124985
2263,Math-Algebra-Symbols-1.16.tar.gz,1086126946
423,Crypt-Random-1.22.tar.gz,1086130727
2178,Apache-TinyCP-0.01.tar.gz,1086134070
2178,SNMP-Simple-0.01.tar.gz,1086134183
838,SPOPS-0.87.tar.gz,1086138205
853,Lexical-Util-0.1.tar.gz,1086138616
853,fields-aliased-0.1.tar.gz,1086138643
2178,Apache-TinyCP-0.02.tar.gz,1086152472
275,Module-Build-0.25_01.tar.gz,1086152684
1765,Win32-GuiTest-1.50.2-ad.zip,1086154886
778,XML-Atom-0.08.tar.gz,1086156357
778,XML-Feed-0.01.tar.gz,1086156480
1085,WebService-Validator-CSS-W3C-0.02.tar.gz,1086158664
157,RayApp-1.145.tar.gz,1086165345
290,HTML-Format-2.04.tar.gz,1086166730
676,WWW-Amazon-Wishlist-1.1.tar.gz,1086166849
319,faq-0.001.tar.gz,1086168969
319,faq-0.002.tar.gz,1086169681
775,Spiffy-0.17.tar.gz,1086171169
775,IO-All-0.22.tar.gz,1086171297
775,Spoon-0.14.tar.gz,1086171314
775,Spork-0.17.tar.gz,1086171331
775,Kwiki-0.29_51.tar.gz,1086171351
90,Pipeline-3.10.tar.gz,1086172811
1773,Sun-Solaris-Ucred-1.1.tar.gz,1086183345
1773,Sun-Solaris-Privilege-1.2.tar.gz,1086183786
1356,Net-Google-0.62.tar.gz,1086188561
1345,Test-DatabaseRow-1.04.tar.gz,1086189704
910,PDF-Template-PDFAPI2-0.40_01.tar.gz,1086190058
1606,SPOPSx-Ginsu-0.58.tar.gz,1086190185
1221,CGI-Upload-1.06.tar.gz,1086190928
1606,Math-Matlab-0.03.tar.gz,1086191337
970,Inline-Java-0.48_93.tar.gz,1086193360
1090,Email-Address-1.2.tar.gz,1086194130
910,Module-ScanDeps-0.43.tar.gz,1086199532
423,Crypt-Random-1.23.tar.gz,1086202344
15,Audio-1.029.tar.gz,1086202362
1595,CGI-Wiki-Formatter-UseMod-0.12.tar.gz,1086202697
1101,Module-Load-0.10.tar.gz,1086202816
1606,Math-Matlab-0.04.tar.gz,1086202929
1903,File-Dircmp-1.30.tar.gz,1086203238
930,Data-Compare-0.11.tar.gz,1086204525
910,PDF-Template-PDFAPI2-0.40_02.tar.gz,1086205185
2263,Math-Algebra-Symbols-1.17.tar.gz,1086208315
1110,SQCAS-0.23.tar.gz,1086209707
1595,CGI-Wiki-Kwiki-0.49.tar.gz,1086209916
1775,Acme-Pythonic-0.20.tar.gz,1086211690
1178,HTML-TagFilter-0.08.tar.gz,1086218177
2037,Chemistry-InternalCoords-0.11.tar.gz,1086218967
1466,Data-Presenter-0.65.tar.gz,1086219813
2354,XRI-0.2.3.tar.gz,1086222105
1294,Nmap-Scanner-0.7a.tar.gz,1086222234
