author_num,filename,date
2810,Apache-Scoreboard-2.10.tar.gz,1396312269
4216,Amon2-Plugin-Web-ChromeLogger-0.01.tar.gz,1396315147
4216,Plack-Middleware-ChromeLogger-0.01.tar.gz,1396315158
2144,App-Addex-0.026.tar.gz,1396316528
6228,JIRA-Client-Automated-1.05.tar.gz,1396319116
4077,Test-CGI-External-0.01.tar.gz,1396320862
6154,LaTeX-Encode-0.091.5.tar.gz,1396321103
2629,Number-Object-0.03.tar.gz,1396321268
5029,Devel-Declare-0.006016.tar.gz,1396321355
5859,App-GitHubWebhooks2Ikachan-0.06.tar.gz,1396323626
1582,Text-QRCode-0.04.tar.gz,1396326882
3150,Graphics-Primitive-0.65.tar.gz,1396329908
3150,Chart-Clicker-2.88.tar.gz,1396330093
4452,LBMA-Statistics-0.061.tar.gz,1396331191
1998,CPAN-Testers-WWW-Reports-Query-Report-0.02.tar.gz,1396334822
78,Module-Locate-1.79.tar.gz,1396336117
531,Business-OnlinePayment-3.03_02.tar.gz,1396337864
5945,Novel-Robot-Parser-0.16.tar.gz,1396338178
4224,lib-deep-0.92.tar.gz,1396343318
430,Template-Flute-0.0111.tar.gz,1396346344
6092,Catmandu-Fix-Date-0.012.tar.gz,1396346759
430,Dancer-Plugin-Interchange6-0.020.tar.gz,1396351819
483,version-Store-0.01.tar.gz,1396352893
483,Perinci-Access-Perl-0.63.tar.gz,1396353435
483,Perinci-Tx-Manager-0.46.tar.gz,1396353446
483,Perinci-Tx-Manager-0.47.tar.gz,1396353533
3438,Acme-Thoroughly-Modern-Perl-v0.4.1.tar.gz,1396354596
4686,Reply-Plugin-DataDumperAutoEncode-0.01.tar.gz,1396354987
5524,Bio-DB-NextProt-0.06.tar.gz,1396356433
6428,Sim-OPTS-0.03.tar.gz,1396356598
4307,Acme-Futuristic-Perl-0.001.tar.gz,1396358194
483,Perinci-CmdLine-1.04.tar.gz,1396359866
6431,SQL-QueryBuilder-OO-0.1.1.tar.gz,1396362218
49,GD-2.53.tar.gz,1396362391
6432,MongoDB-v0.703.3-TRIAL.tar.gz,1396362866
483,Dist-Zilla-Plugin-SHARYANTO-OurPkgVersion-0.01.tar.gz,1396364761
5787,FFI-Util-0.07.tar.gz,1396364848
483,Dist-Zilla-PluginBundle-Author-SHARYANTO-0.22.tar.gz,1396365308
49,Net-ISP-Balance-1.04.tar.gz,1396365476
483,Dist-Zilla-Plugin-SHARYANTO-OurPkgVersion-0.02.tar.gz,1396365721
483,Perinci-Import-0.02.tar.gz,1396366489
5877,Mojolicious-Plugin-CHI-0.07.tar.gz,1396366806
1006,Prima-1.38.tar.gz,1396368101
5787,Yars-0.94.tar.gz,1396369569
6408,FT817COMM-0.9.0_17.tar.gz,1396370039
6220,Math-Random-MTwist-0.07.tar.gz,1396370126
3265,Tickit-0.43.tar.gz,1396372851
5916,Business-CPI-0.916.tar.gz,1396372938
159,Config-Model-2.054.tar.gz,1396374710
3786,Netdot-Client-REST-1.03.tar.gz,1396374913
692,Template-Plugin-Filter-Minify-JavaScript-XS-0.94.tar.gz,1396375907
692,Template-Plugin-Filter-Minify-JavaScript-0.94.tar.gz,1396376072
692,Template-Plugin-Filter-Minify-CSS-0.95.tar.gz,1396376159
692,Template-Plugin-Filter-Minify-CSS-XS-0.96.tar.gz,1396376238
692,Template-Plugin-Filter-String-Truncate-0.03.tar.gz,1396376316
692,Template-Plugin-Map-0.02.tar.gz,1396376395
2229,Carp-1.3301.tar.gz,1396377230
4942,Bio-App-SELEX-RNAmotifAnalysis-0.0090.tar.gz,1396377241
2144,Process-Status-0.003.tar.gz,1396377328
4942,Bio-App-SELEX-RNAmotifAnalysis-0.0091.tar.gz,1396377495
4164,List-MoreUtils-0.400_006.tar.gz,1396379167
554,List-AllUtils-0.08.tar.gz,1396383472
6425,Win32-Tracert-0.005.tar.gz,1396384395
5719,Array-To-Moose-v0.0.4.tar.gz,1396385164
1084,Dancer-Plugin-Database-Core-0.06.tar.gz,1396386233
5680,Redis-CappedCollection-0.15.tar.gz,1396387378
82,Inline-Filters-0.14.tar.gz,1396387543
3265,Tickit-Widgets-0.15.tar.gz,1396388691
